iter	RMSE
136	0.1165867325
137	0.1155463004
138	0.1142512452
139	0.1132161011
140	0.1123289509
141	0.1117469397
142	0.1109232379
143	0.1092355765
144	0.1078174256
145	0.1061118976
146	0.1051838768
147	0.1039729124
148	0.1028608489
149	0.1021919863
150	0.1011032576
151	0.1004540008
152	0.09938297376
153	0.09835484879
154	0.09695379714
155	0.09631560935
156	0.09550943861
157	0.09459911371
158	0.09342130992
159	0.09301354867
160	0.09178724107
161	0.09064756384
162	0.08983646348
163	0.08870692481
164	0.0879499778
165	0.08686941937
166	0.08598685447
167	0.08509226459
168	0.08425823429
169	0.08371371602
170	0.08274138764
171	0.08191455426
172	0.0813660856
173	0.08043057672
174	0.07938933475
175	0.07836331507
176	0.07748344995
177	0.07660121428
178	0.07578456738
179	0.07471766163
180	0.07417628456
181	0.07345162863
182	0.07298811617
183	0.07237642253
184	0.07210847272
185	0.07127550225
186	0.07089270658
187	0.06975977598
188	0.06929205916
189	0.06883145848
190	0.06826883675
191	0.06772162901
192	0.06717411447
193	0.06666614642
194	0.06610494908
195	0.06506791613
196	0.06455142145
197	0.06400309553
198	0.06340124948
199	0.06273665058
200	0.06230539149
201	0.06173124958
202	0.06137316147
203	0.06070657069
204	0.06019183077
205	0.05964490389
206	0.05917669539
207	0.05853801933
208	0.05779875565
209	0.05711577539
210	0.05646058602
211	0.05591645962
212	0.05546354
213	0.05511607452
214	0.05460475498
215	0.05418609673
216	0.05387605158
217	0.05327326453
218	0.05289596533
219	0.05248552938
220	0.05186227109
221	0.05125812612
222	0.05089133701
223	0.05044332255
224	0.04991068053
225	0.04928929885
226	0.0484318472
227	0.04787152935
228	0.04704098158
229	0.04661801161
230	0.04633656096
231	0.04554946492
232	0.0450971879
233	0.04424549751
234	0.04389162023
235	0.0434654043
236	0.04316637918
237	0.04245270874
238	0.04216927993
239	0.04188776584
240	0.04122742547
241	0.04095974017
242	0.04030661352
243	0.03965195067
244	0.03931614581
245	0.03884821929
246	0.03859222477
247	0.03834952427
248	0.0377270784
249	0.0374974673
250	0.03725662498
251	0.03696713497
252	0.03636763581
253	0.03610840267
254	0.03591449947
255	0.03552733984
256	0.0352957467
257	0.03468711821
258	0.03413132746
259	0.03359696397
260	0.03329568934
261	0.03312085574
262	0.03281492469
263	0.03247069309
264	0.03209656979
265	0.03173375593
266	0.03157782786
267	0.03122705549
268	0.0308680945
269	0.03071655543
270	0.03044546033
271	0.03005006109
272	0.02966780097
273	0.02930863562
274	0.0291405887
275	0.02874757779
276	0.02843933104
277	0.02810049868
278	0.02776392945
279	0.02760423867
280	0.02749035867
281	0.02712365368
282	0.02699826974
283	0.02674479929
284	0.02659285701
285	0.02647257047
286	0.02636845275
287	0.02607241805
288	0.02595608539
289	0.02584350234
290	0.0255463086
291	0.02536871932
292	0.02518883743
293	0.02509366185
294	0.02489673699
295	0.02478945194
296	0.02443473828
297	0.02409470838
298	0.02386327354
299	0.02365510346
300	0.02355465426
301	0.02330601527
302	0.0230711392
303	0.02298539957
304	0.02280818678
305	0.02263794784
306	0.02238128552
307	0.02214562068
308	0.02183600873
309	0.02169255428
310	0.02146225643
311	0.02137591106
312	0.02112606703
313	0.02089175816
314	0.02070216535
315	0.02058118895
316	0.02049254564
317	0.02031384776
318	0.02004868351
319	0.01997140669
320	0.01976275533
321	0.01968271775
322	0.0195738318
323	0.01949530817
324	0.01941872408
325	0.01926012636
326	0.01914957846
327	0.01899801634
328	0.01892931037
329	0.01875710833
330	0.01856821309
331	0.01842500684
332	0.01827293937
333	0.01812786803
334	0.01796794859
335	0.01786563588
336	0.01767844036
337	0.01754279899
338	0.01733637254
339	0.01727399745
340	0.01721813574
341	0.01716223946
342	0.01692904453
343	0.016875114
344	0.01682122647
345	0.01667532713
346	0.01652872614
347	0.01638689232
348	0.01631739289
349	0.01622648786
350	0.01601578663
351	0.01588015863
352	0.01570148878
353	0.01565231266
354	0.01545508351
355	0.01541275367
356	0.01526275339
357	0.01522245564
358	0.01506822417
359	0.01490221644
360	0.01480106074
361	0.01475892389
362	0.01460037045
363	0.01445357939
364	0.01428680477
365	0.01424523639
366	0.01409733401
367	0.01397115918
368	0.01383332018
369	0.01368830968
370	0.01364951265
371	0.0134906296
372	0.0133853435
373	0.01327993617
374	0.01325009329
375	0.01321791866
376	0.01306210925
377	0.01293085037
378	0.01285808572
379	0.01271127153
380	0.01266678485
381	0.01257502505
382	0.01245542008
383	0.01232266816
384	0.01220049693
385	0.01205217653
386	0.01194008946
387	0.01183730738
388	0.01180485411
389	0.01172291734
390	0.01159610432
391	0.01154621377
392	0.01153068324
393	0.01141546731
394	0.011400343
395	0.01130835492
396	0.01127025161
397	0.0112208674
398	0.0112010568
399	0.01116239843
400	0.01112884438
401	0.01105583831
402	0.01104134223
403	0.01092859886
404	0.01086076427
405	0.0108163686
406	0.01071113143
407	0.01063577377
408	0.01057645454
409	0.0105150788
410	0.0104477765
411	0.01041784143
412	0.01036185569
413	0.01029697617
414	0.01019784461
415	0.01016125658
416	0.01008524567
417	0.01003714817
418	0.009955656623
419	0.009927922094
420	0.009900661941
421	0.009855527183
422	0.009819405729
423	0.009792784619
424	0.009766582671
425	0.009711932285
426	0.009688718738
427	0.009639534152
428	0.009561194016
429	0.00953347607
430	0.009466590394
431	0.009398931002
432	0.009341508877
433	0.009295725938
434	0.009231878371
435	0.009166496504
436	0.00910951389
437	0.009031671946
438	0.008936738153
439	0.008915888772
440	0.0088937755
441	0.008800175488
442	0.008735564658
443	0.008679850015
444	0.00862334152
445	0.008597525346
446	0.00854656546
447	0.008461164312
448	0.008408425089
449	0.008340448847
450	0.008293769037
451	0.008265670336
452	0.008185774286
453	0.008141296359
454	0.008118348195
455	0.008067841134
456	0.008038537074
457	0.007981597193
458	0.007927093343
459	0.00785714533
460	0.007786406994
461	0.007763147195
462	0.007721379319
463	0.00765161105
464	0.007628924961
465	0.007563198608
466	0.007522783092
467	0.007478566685
468	0.007458288329
469	0.007401453172
470	0.007380450266
471	0.00736223123
472	0.007299909549
473	0.007255646101
474	0.007198253693
475	0.007177629937
476	0.007147616812
477	0.007129318536
478	0.007090553821
479	0.007032199997
480	0.006997155948
481	0.006949620862
482	0.006922149142
483	0.006890840135
484	0.006863217984
485	0.006807865412
486	0.006755627414
487	0.006737010501
488	0.006720761547
489	0.006684795557
490	0.006640655972
491	0.006617476273
492	0.006561744063
493	0.0065178773
494	0.006469260699
495	0.006464744732
496	0.00644229844
497	0.006401425879
498	0.006362281811
499	0.006349506768
500	0.006310333124
501	0.006305997174
502	0.00628347754
503	0.006227140197
504	0.006197405643
505	0.00616897813
506	0.006120330602
507	0.006096023944
508	0.006059363574
509	0.006009094086
510	0.005976030817
511	0.005933360049
512	0.005893119431
513	0.005870886916
514	0.005858185424
515	0.005816525536
516	0.005779061887
517	0.005741835728
518	0.005697650831
519	0.00567553141
520	0.005637652332
521	0.005601683414
522	0.005591983717
523	0.005562688789
524	0.005536161708
525	0.005511865206
526	0.005468628301
527	0.00545660438
528	0.005418305588
529	0.005390698711
530	0.005386110453
531	0.005381523982
532	0.005352028597
533	0.005348815413
534	0.005316153396
535	0.0052881794
536	0.005268426605
537	0.005230744157
538	0.005213768586
539	0.005209524041
540	0.005172308418
541	0.005169451263
542	0.005142378139
543	0.005136762629
544	0.005113404987
545	0.005089283249
546	0.005069935116
547	0.005026899457
548	0.005008653085
549	0.004981418722
550	0.004952973937
551	0.004914968897
552	0.004882976536
553	0.004877284467
554	0.004850901574
555	0.004824301414
556	0.004810812249
557	0.004785118113
558	0.004763915852
559	0.004731625998
560	0.004708730709
561	0.004694140262
562	0.004691023789
563	0.004659309438
564	0.004643888987
565	0.00462547949
566	0.004592428117
567	0.004573262112
568	0.004564325789
569	0.004542450272
570	0.004515249864
571	0.004512343062
572	0.004489187649
573	0.004472000305
574	0.004452471515
575	0.004430173382
576	0.004406473246
577	0.00440244112
578	0.004377231634
579	0.004367810479
580	0.004356023502
581	0.004333542924
582	0.004314042192
583	0.004299971713
584	0.004277813994
585	0.00426040742
586	0.004256684058
587	0.004240112839
588	0.004238097904
589	0.004224928955
590	0.004222864194
591	0.004220831451
592	0.004204004752
593	0.004180809387
594	0.004160440129
595	0.004145244522
596	0.004143485491
597	0.004123828646
598	0.004098428432
599	0.004096035002
600	0.004081405707
601	0.004059230664
602	0.004042332674
603	0.004011417756
604	0.003992048171
605	0.003969861153
606	0.003952899636
607	0.003933651136
608	0.00391148182
609	0.003909542988
610	0.003906495824
611	0.003904387344
612	0.003902703577
613	0.00389115995
614	0.003859231631
615	0.003841504486
616	0.003824827533
617	0.003806767868
618	0.003804748677
619	0.003779488707
620	0.003762117924
621	0.003742796637
622	0.003732790594
623	0.003721971492
624	0.0037192225
625	0.003697049864
626	0.003695111288
627	0.003693482374
628	0.003677249926
629	0.003659271905
630	0.003643024426
631	0.003617464349
632	0.003601352631
633	0.003579926081
634	0.003568046973
635	0.00355426804
636	0.003547123545
637	0.003545255684
638	0.003529706954
639	0.00351063792
640	0.003503674323
641	0.003502115445
642	0.003490247591
643	0.003478965239
644	0.00347721404
645	0.003457569595
646	0.003455844991
647	0.003444799817
648	0.003420821196
649	0.003410095638
650	0.003389306295
651	0.003382973626
652	0.003369604958
653	0.00335264138
654	0.003336316275
655	0.00332368705
656	0.003305884996
657	0.003291753626
658	0.003282688682
659	0.003259981955
660	0.003247484453
661	0.003245148167
662	0.003232760326
663	0.003220749328
664	0.003207415981
665	0.003204676078
666	0.003195940563
667	0.003184361029
668	0.003171306313
669	0.003168918443
670	0.003152265634
671	0.003138172069
672	0.003125836931
673	0.003113434749
674	0.00311212515
675	0.003109910462
676	0.003094167904
677	0.003092630872
678	0.003072351399
679	0.003061980923
680	0.003046255056
681	0.003044099371
682	0.003030754009
683	0.003015536426
684	0.003003080746
685	0.003001634063
686	0.002989495367
687	0.002980579837
688	0.002968809493
689	0.002962675093
690	0.002951336725
691	0.002940414803
692	0.002928129902
693	0.002915703141
694	0.002906299827
695	0.002890815904
696	0.002888841752
697	0.00287845681
698	0.002866032555
699	0.002862458888
700	0.002858233929
701	0.00284796014
702	0.002841177336
703	0.002832424049
704	0.002819880188
705	0.00280289194
706	0.002794998323
707	0.002785437553
708	0.002774252116
709	0.002763984122
710	0.002750100445
711	0.002742517946
712	0.002733913256
713	0.00272367081
714	0.002721906148
715	0.002720025707
716	0.002712248617
717	0.002706420353
718	0.002695246523
719	0.00268594572
720	0.002683028575
721	0.002679329396
722	0.002668085097
723	0.002660807104
724	0.00265251435
725	0.002646389016
726	0.00263287977
727	0.002621423797
728	0.002615677059
729	0.002606054781
730	0.002594979078
731	0.002592545813
732	0.002584277033
733	0.002573771078
734	0.00256153942
735	0.002552136323
736	0.002551215345
737	0.002542904519
738	0.002535066531
739	0.002526683949
740	0.00252179278
741	0.002519903071
742	0.00251807423
743	0.002509450378
744	0.002508389576
745	0.002499530358
746	0.002497174757
747	0.002488219531
748	0.002483214817
749	0.00248151054
750	0.002467214248
751	0.002465610605
752	0.002456098247
753	0.002445600501
754	0.002443985098
755	0.002438621191
756	0.002430903789
757	0.002419381656
758	0.002409684327
759	0.002407138599
760	0.002402644457
761	0.002393930513
762	0.002385215376
763	0.002378690669
764	0.002377150217
765	0.00236912675
766	0.002360765527
767	0.002354091834
768	0.00234685297
769	0.002336664787
770	0.002328605506
771	0.002321520413
772	0.002312036583
773	0.002300034816
774	0.002297210211
775	0.002288261
776	0.002281318044
777	0.002273989147
778	0.002270763164
779	0.002259185244
780	0.002252001929
781	0.002251024844
782	0.002247103978
783	0.002242119505
784	0.002235425168
785	0.002229433818
786	0.002223528698
787	0.002213461806
788	0.002212397001
789	0.002205604136
790	0.002198153131
791	0.002196863607
792	0.002190377136
793	0.002179682883
794	0.002169157479
795	0.002161786219
796	0.002154978179
797	0.00214924102
798	0.00214251728
799	0.002139488737
800	0.002135223964
801	0.002128338967
802	0.002124756684
803	0.002114876945
804	0.002106079075
805	0.002097779435
806	0.002092843196
807	0.002086994872
808	0.002076621689
809	0.002073469369
810	0.002068374075
811	0.002063208931
812	0.002055278241
813	0.002050402908
814	0.002044801305
815	0.002036018177
816	0.002032549786
817	0.002026493765
818	0.002017725103
819	0.002007960205
820	0.001998497275
821	0.001988708472
822	0.001983131123
823	0.001972906887
824	0.001971665501
825	0.001966209107
826	0.001957192982
827	0.001949770256
828	0.001943707428
829	0.001937866487
830	0.001934494707
831	0.001928668692
832	0.001922894464
833	0.001917066792
834	0.001911519459
835	0.001902611518
836	0.001896871569
837	0.001892608002
838	0.001884175565
839	0.001877463217
840	0.001873730029
841	0.00186740289
842	0.001861810496
843	0.001857062085
844	0.001851708316
845	0.001845504692
846	0.001837600462
847	0.001833125303
848	0.001824501079
849	0.001818245048
850	0.001813200185
851	0.001811226856
852	0.00180778726
853	0.001805842302
854	0.001798414104
855	0.00179583162
856	0.001789545642
857	0.001782088031
858	0.001776853319
859	0.001768890956
860	0.001765348819
861	0.001759388151
862	0.001752425106
863	0.001744311306
864	0.00173919852
865	0.001732252421
866	0.00172710901
867	0.001720200162
868	0.001714831598
869	0.00170955324
870	0.001704040487
871	0.001701293713
872	0.001694230967
873	0.001690402702
874	0.001689417315
875	0.001686373223
876	0.001677771878
877	0.001674362665
878	0.001671410707
879	0.001666417442
880	0.001662714655
881	0.001655794474
882	0.001649852332
883	0.001643681401
884	0.001638031476
885	0.001631983652
886	0.001628447773
887	0.001623453533
888	0.001619172156
889	0.001618369902
890	0.00161333197
891	0.001611745488
892	0.001605891737
893	0.001599581985
894	0.001594677323
895	0.001591509859
896	0.001583728001
897	0.001578527473
898	0.001572391827
899	0.00156883932
900	0.001562412467
901	0.001560222102
902	0.001554169791
903	0.001551769379
904	0.001549390347
905	0.001544273039
906	0.001541365378
907	0.001535478675
908	0.001531591313
909	0.001525345697
910	0.001523107617
911	0.001519106826
912	0.001516212624
913	0.001513657559
914	0.001510816492
915	0.001506744041
916	0.001499694696
917	0.00149655405
918	0.00149033499
919	0.00148620681
920	0.001481741085
921	0.001477740515
922	0.001473666344
923	0.001471564198
924	0.001464883343
925	0.001457719764
926	0.001452418408
927	0.001448136097
928	0.001442715997
929	0.001438242253
930	0.001434927826
931	0.001430976839
932	0.00142993096
933	0.001424243943
934	0.001418919838
935	0.001413906655
936	0.001410407337
937	0.001408260029
938	0.001406312407
939	0.001403228682
940	0.00139828828
941	0.001395920163
942	0.001391932174
943	0.001386982976
944	0.001381522792
945	0.001376688233
946	0.001374496476
947	0.001369866345
948	0.001367224256
949	0.001364288692
950	0.001359283199
951	0.001353805078
952	0.001348539824
953	0.001342502286
954	0.001339611665
955	0.001334623421
956	0.001328906442
957	0.001324626466
958	0.001320404486
959	0.001319742923
960	0.001315680331
961	0.001315067286
962	0.001311185602
963	0.001310114467
964	0.001309071702
965	0.001305293884
966	0.001300323331
967	0.001295800644
968	0.001291671776
969	0.001289701985
970	0.001289183155
971	0.00128876465
972	0.001288257954
973	0.001284766995
974	0.001280673054
975	0.001277990923
976	0.001275201209
977	0.001271912814
978	0.001271413929
979	0.001267519559
980	0.00126209185
981	0.001257018728
982	0.001252903002
983	0.001248047076
984	0.001243279881
985	0.001239433812
986	0.001236059632
987	0.001232203032
988	0.00122971369
989	0.001226685842
990	0.001224094843
991	0.001218983512
992	0.001214199725
993	0.00121055445
994	0.001207423893
995	0.001203716835
996	0.001202376451
997	0.001200043407
998	0.001197284923
999	0.001194376804
