iter	Passed	Remaining
412	3615	5138
413	3622	5127
414	3630	5117
415	3637	5107
416	3646	5097
417	3653	5087
418	3662	5078
419	3670	5068
420	3680	5062
421	3689	5052
422	3698	5044
423	3706	5035
424	3714	5025
425	3723	5016
426	3731	5007
427	3740	4998
428	3749	4990
429	3757	4980
430	3765	4971
431	3773	4961
432	3781	4952
433	3790	4942
434	3798	4934
435	3807	4925
436	3816	4917
437	3824	4907
438	3831	4896
439	3839	4886
440	3848	4878
441	3856	4868
442	3865	4860
443	3874	4851
444	3881	4841
445	3889	4830
446	3897	4821
447	3905	4812
448	3913	4803
449	3922	4794
450	3931	4786
451	3942	4780
452	3954	4775
453	3963	4767
454	3971	4757
455	3980	4749
456	3989	4740
457	3998	4731
458	4006	4722
459	4014	4713
460	4023	4703
461	4031	4695
462	4039	4685
463	4048	4676
464	4056	4667
465	4065	4658
466	4075	4651
467	4088	4647
468	4097	4639
469	4106	4630
470	4114	4620
471	4122	4611
472	4131	4602
473	4139	4593
474	4148	4585
475	4155	4574
476	4163	4565
477	4173	4557
478	4181	4547
479	4190	4539
480	4201	4533
481	4209	4523
482	4217	4514
483	4225	4504
484	4234	4496
485	4242	4486
486	4250	4477
487	4258	4467
488	4265	4457
489	4273	4448
490	4281	4438
491	4289	4429
492	4298	4420
493	4307	4411
494	4315	4402
495	4323	4393
496	4330	4382
497	4338	4373
498	4346	4364
499	4355	4355
500	4362	4345
501	4370	4335
502	4378	4326
503	4386	4316
504	4393	4306
505	4401	4297
506	4410	4288
507	4418	4279
508	4426	4270
509	4434	4260
510	4442	4251
511	4450	4241
512	4458	4232
513	4466	4223
514	4474	4214
515	4483	4205
516	4490	4195
517	4498	4185
518	4508	4178
519	4519	4171
520	4527	4162
521	4535	4153
522	4543	4143
523	4551	4134
524	4559	4125
525	4567	4116
526	4575	4106
527	4582	4096
528	4594	4090
529	4605	4083
530	4615	4076
531	4623	4067
532	4631	4058
533	4639	4048
534	4648	4039
535	4656	4030
536	4663	4021
537	4671	4011
538	4680	4003
539	4689	3994
540	4696	3984
541	4704	3975
542	4714	3967
543	4724	3960
544	4732	3951
545	4740	3941
546	4749	3933
547	4757	3924
548	4766	3915
549	4774	3906
550	4783	3898
551	4791	3888
552	4800	3880
553	4808	3870
554	4815	3861
555	4824	3852
556	4832	3843
557	4841	3835
558	4850	3826
559	4858	3817
560	4867	3808
561	4874	3799
562	4883	3790
563	4891	3781
564	4899	3772
565	4906	3762
566	4915	3753
567	4924	3745
568	4931	3735
569	4939	3726
570	4948	3717
571	4957	3709
572	4966	3700
573	4973	3691
574	4981	3681
575	4990	3673
576	4998	3664
577	5005	3654
578	5013	3645
579	5021	3636
580	5030	3627
581	5037	3618
582	5045	3608
583	5054	3600
584	5063	3591
585	5072	3583
586	5079	3573
587	5087	3564
588	5096	3556
589	5103	3546
590	5111	3537
591	5119	3528
592	5127	3519
593	5136	3510
594	5144	3501
595	5152	3492
596	5158	3481
597	5167	3473
598	5174	3464
599	5182	3454
600	5190	3445
601	5198	3437
602	5206	3427
603	5214	3418
604	5221	3409
605	5230	3400
606	5239	3392
607	5248	3383
608	5255	3374
609	5264	3365
610	5273	3357
611	5281	3348
612	5289	3339
613	5296	3329
614	5304	3321
615	5313	3312
616	5321	3303
617	5329	3294
618	5337	3285
619	5345	3276
620	5353	3267
621	5361	3257
622	5369	3249
623	5378	3240
624	5385	3231
625	5394	3222
626	5402	3213
627	5410	3204
628	5418	3196
629	5426	3187
630	5435	3178
631	5443	3169
632	5451	3160
633	5458	3151
634	5466	3142
635	5474	3133
636	5483	3124
637	5491	3115
638	5499	3107
639	5507	3098
640	5515	3088
641	5523	3080
642	5531	3071
643	5539	3062
644	5547	3053
645	5555	3044
646	5562	3035
647	5570	3025
648	5578	3017
649	5590	3010
650	5600	3002
651	5611	2994
652	5620	2986
653	5631	2979
654	5639	2970
655	5647	2961
656	5655	2952
657	5662	2943
658	5670	2934
659	5680	2926
660	5687	2917
661	5696	2908
662	5704	2899
663	5714	2891
664	5725	2884
665	5734	2875
666	5744	2867
667	5754	2859
668	5763	2851
669	5771	2842
670	5780	2834
671	5789	2825
672	5797	2816
673	5809	2809
674	5821	2802
675	5831	2794
676	5842	2787
677	5852	2779
678	5861	2771
679	5871	2762
680	5880	2754
681	5889	2746
682	5900	2738
683	5910	2730
684	5922	2723
685	5930	2714
686	5940	2706
687	5951	2699
688	5960	2690
689	5971	2682
690	5981	2674
691	5992	2667
692	6001	2658
693	6010	2650
694	6020	2641
695	6029	2633
696	6037	2624
697	6047	2616
698	6056	2607
699	6063	2598
700	6071	2589
701	6080	2581
702	6089	2572
703	6097	2563
704	6105	2554
705	6112	2545
706	6120	2536
707	6130	2528
708	6138	2519
709	6146	2510
710	6154	2501
711	6162	2492
712	6170	2483
713	6177	2474
714	6185	2465
715	6192	2456
716	6200	2447
717	6207	2438
718	6215	2429
719	6223	2420
720	6231	2411
721	6239	2402
722	6248	2393
723	6255	2384
724	6263	2375
725	6271	2366
726	6281	2358
727	6289	2349
728	6296	2340
729	6304	2331
730	6313	2323
731	6321	2314
732	6328	2305
733	6338	2297
734	6347	2288
735	6355	2279
736	6362	2270
737	6370	2261
738	6378	2252
